,params,iou
482,"('image', 2, False, True, 0.5, True, False, 1)",0.04350410611446536
486,"('image', 2, False, True, 0.5, False, False, 1)",0.04360870478744761
290,"('image', 1, False, True, 0.5, True, False, 1)",0.0441753129595487
556,"('image', 2, False, False, 1.5, False, True, 1)",0.044839232836547976
194,"('image', 1, True, True, 0.5, True, False, 1)",0.045387650041180796
544,"('image', 2, False, False, 1.3, True, True, 1)",0.04826566958697342
416,"('image', 2, True, True, 1.7, True, True, 1)",0.050451620965498746
420,"('image', 2, True, True, 1.7, False, True, 1)",0.05053724332585862
256,"('image', 1, True, False, 1.3, True, True, 1)",0.051789478849802485
352,"('image', 1, False, False, 1.3, True, True, 1)",0.055893852482223345
88,"('image', 0, True, False, 2, True, True, 1)",0.06435018333131343
136,"('image', 0, False, True, 2, True, True, 1)",0.06435018333131343
40,"('image', 0, True, True, 2, True, True, 1)",0.06435018333131343
184,"('image', 0, False, False, 2, True, True, 1)",0.06435018333131343
44,"('image', 0, True, True, 2, False, True, 1)",0.06456171387490055
140,"('image', 0, False, True, 2, False, True, 1)",0.06456171387490055
188,"('image', 0, False, False, 2, False, True, 1)",0.06456171387490055
92,"('image', 0, True, False, 2, False, True, 1)",0.06456171387490055
444,"('image', 2, True, False, 1, False, True, 1)",0.06507175813180849
432,"('image', 2, True, False, 0.5, True, True, 1)",0.06682537937469209
436,"('image', 2, True, False, 0.5, False, True, 1)",0.06828587990497784
260,"('image', 1, True, False, 1.3, False, True, 1)",0.07030899253172812
356,"('image', 1, False, False, 1.3, False, True, 1)",0.07363938939070343
548,"('image', 2, False, False, 1.3, False, True, 1)",0.0793773103340369
325,"('image', 1, False, True, 1.7, False, True, 2)",0.08183397314278193
305,"('image', 1, False, True, 1.3, True, True, 2)",0.08183397314278193
277,"('image', 1, True, False, 1.7, False, True, 2)",0.08183397314278193
329,"('image', 1, False, True, 2, True, True, 2)",0.08183397314278193
285,"('image', 1, True, False, 2, False, True, 2)",0.08183397314278193
365,"('image', 1, False, False, 1.5, False, True, 2)",0.08183397314278193
373,"('image', 1, False, False, 1.7, False, True, 2)",0.08183397314278193
295,"('image', 1, False, True, 0.5, False, False, 2)",0.08183397314278193
395,"('image', 2, True, True, 1, True, False, 2)",0.08183397314278193
289,"('image', 1, False, True, 0.5, True, True, 2)",0.08183397314278193
229,"('image', 1, True, True, 1.7, False, True, 2)",0.08183397314278193
397,"('image', 2, True, True, 1, False, True, 2)",0.08183397314278193
303,"('image', 1, False, True, 1, False, False, 2)",0.08183397314278193
237,"('image', 1, True, True, 2, False, True, 2)",0.08183397314278193
319,"('image', 1, False, True, 1.5, False, False, 2)",0.08183397314278193
391,"('image', 2, True, True, 0.5, False, False, 2)",0.08183397314278193
241,"('image', 1, True, False, 0.5, True, True, 2)",0.08183397314278193
269,"('image', 1, True, False, 1.5, False, True, 2)",0.08183397314278193
389,"('image', 2, True, True, 0.5, False, True, 2)",0.08183397314278193
245,"('image', 1, True, False, 0.5, False, True, 2)",0.08183397314278193
381,"('image', 1, False, False, 2, False, True, 2)",0.08183397314278193
265,"('image', 1, True, False, 1.5, True, True, 2)",0.08183397314278193
387,"('image', 2, True, True, 0.5, True, False, 2)",0.08183397314278193
261,"('image', 1, True, False, 1.3, False, True, 2)",0.08183397314278193
249,"('image', 1, True, False, 1, True, True, 2)",0.08183397314278193
349,"('image', 1, False, False, 1, False, True, 2)",0.08183397314278193
253,"('image', 1, True, False, 1, False, True, 2)",0.08183397314278193
257,"('image', 1, True, False, 1.3, True, True, 2)",0.08183397314278193
377,"('image', 1, False, False, 2, True, True, 2)",0.08183397314278193
575,"('image', 2, False, False, 2, False, False, 2)",0.08183397314278193
433,"('image', 2, True, False, 0.5, True, True, 2)",0.08183397314278193
399,"('image', 2, True, True, 1, False, False, 2)",0.08183397314278193
497,"('image', 2, False, True, 1.3, True, True, 2)",0.08183397314278193
495,"('image', 2, False, True, 1, False, False, 2)",0.08183397314278193
493,"('image', 2, False, True, 1, False, True, 2)",0.08183397314278193
491,"('image', 2, False, True, 1, True, False, 2)",0.08183397314278193
489,"('image', 2, False, True, 1, True, True, 2)",0.08183397314278193
487,"('image', 2, False, True, 0.5, False, False, 2)",0.08183397314278193
485,"('image', 2, False, True, 0.5, False, True, 2)",0.08183397314278193
483,"('image', 2, False, True, 0.5, True, False, 2)",0.08183397314278193
481,"('image', 2, False, True, 0.5, True, True, 2)",0.08183397314278193
479,"('image', 2, True, False, 2, False, False, 2)",0.08183397314278193
477,"('image', 2, True, False, 2, False, True, 2)",0.08183397314278193
473,"('image', 2, True, False, 2, True, True, 2)",0.08183397314278193
471,"('image', 2, True, False, 1.7, False, False, 2)",0.08183397314278193
469,"('image', 2, True, False, 1.7, False, True, 2)",0.08183397314278193
465,"('image', 2, True, False, 1.7, True, True, 2)",0.08183397314278193
463,"('image', 2, True, False, 1.5, False, False, 2)",0.08183397314278193
461,"('image', 2, True, False, 1.5, False, True, 2)",0.08183397314278193
499,"('image', 2, False, True, 1.3, True, False, 2)",0.08183397314278193
501,"('image', 2, False, True, 1.3, False, True, 2)",0.08183397314278193
503,"('image', 2, False, True, 1.3, False, False, 2)",0.08183397314278193
