,params,iou
372,"('image', 1, False, False, 1.7, False, True, 1)",0.018694959847924766
310,"('image', 1, False, True, 1.3, False, False, 1)",0.019089958886994465
279,"('image', 1, True, False, 1.7, False, False, 2)",0.019943784981047864
22,"('image', 0, True, True, 1.3, False, False, 1)",0.020249076251895277
166,"('image', 0, False, False, 1.3, False, False, 1)",0.020249076251895277
70,"('image', 0, True, False, 1.3, False, False, 1)",0.020249076251895277
118,"('image', 0, False, True, 1.3, False, False, 1)",0.020249076251895277
276,"('image', 1, True, False, 1.7, False, True, 1)",0.020758985690450565
550,"('image', 2, False, False, 1.3, False, False, 1)",0.021257518505204916
275,"('image', 1, True, False, 1.7, True, False, 2)",0.02162124799092241
560,"('image', 2, False, False, 1.7, True, True, 1)",0.021753608142093348
306,"('image', 1, False, True, 1.3, True, False, 1)",0.022216741862146998
162,"('image', 0, False, False, 1.3, True, False, 1)",0.022442089417240747
66,"('image', 0, True, False, 1.3, True, False, 1)",0.022442089417240747
18,"('image', 0, True, True, 1.3, True, False, 1)",0.022442089417240747
114,"('image', 0, False, True, 1.3, True, False, 1)",0.022442089417240747
454,"('image', 2, True, False, 1.3, False, False, 1)",0.02245440856428987
450,"('image', 2, True, False, 1.3, True, False, 1)",0.0230412444008476
546,"('image', 2, False, False, 1.3, True, False, 1)",0.02306823571320238
350,"('image', 1, False, False, 1, False, False, 1)",0.02439428051299344
440,"('image', 2, True, False, 1, True, True, 1)",0.024779378719258466
110,"('image', 0, False, True, 1, False, False, 1)",0.02555262707614867
158,"('image', 0, False, False, 1, False, False, 1)",0.02555262707614867
14,"('image', 0, True, True, 1, False, False, 1)",0.02555262707614867
62,"('image', 0, True, False, 1, False, False, 1)",0.02555262707614867
383,"('image', 1, False, False, 2, False, False, 2)",0.02606373774502548
346,"('image', 1, False, False, 1, True, False, 1)",0.027002105556730636
106,"('image', 0, False, True, 1, True, False, 1)",0.028083300555018266
10,"('image', 0, True, True, 1, True, False, 1)",0.028083300555018266
154,"('image', 0, False, False, 1, True, False, 1)",0.028083300555018266
58,"('image', 0, True, False, 1, True, False, 1)",0.028083300555018266
302,"('image', 1, False, True, 1, False, False, 1)",0.028587900192982692
564,"('image', 2, False, False, 1.7, False, True, 1)",0.028617289815475747
379,"('image', 1, False, False, 2, True, False, 2)",0.02888960233539627
542,"('image', 2, False, False, 1, False, False, 1)",0.029076780783213376
332,"('image', 1, False, True, 2, False, True, 1)",0.029340993652043665
246,"('image', 1, True, False, 0.5, False, False, 1)",0.030080275252215415
538,"('image', 2, False, False, 1, True, False, 1)",0.030566065345082067
360,"('image', 1, False, False, 1.5, True, True, 1)",0.030990722570478677
446,"('image', 2, True, False, 1, False, False, 1)",0.03113339887187946
442,"('image', 2, True, False, 1, True, False, 1)",0.031240557729053927
